x coord, y coord, z coord
0.53519,0.171733,0.171595
0.556834,0.578255,0.579028
0.493146,0.642539,0.642986
0.599779,0.0424126,0.0433547
0.0427687,0.57895,0.57864
0.171235,0.600375,0.600301
0.621268,0.428725,0.42846
0.556968,0.407612,0.406931
0.642559,0.0217202,0.0216053
0.428776,0.320944,0.320923
0.256872,0.449711,0.450274
0.38529,0.107172,0.107286
0.0429763,0.106723,0.107457
0.6647,0.321607,0.321574
0.535668,0.386149,0.386093
0.192435,0.021314,0.0210291
0.621861,0.364564,0.364763
0.0853423,0.0428922,0.0430463
0.0641875,0.214685,0.214548
0.320964,0.0211609,0.0217731
0.257115,0.0217229,0.0212334
0.664325,0.299529,0.299832
0.685187,0.471137,0.471537
0.321782,0.364166,0.364095
0.343059,0.406775,0.407551
0.0855736,0.471215,0.471073
0.385999,0.343219,0.342855
0.300058,0.557026,0.557576
0.385244,0.493178,0.493096
0.171849,0.406638,0.406812
0.557026,0.213969,0.2142
0.0210951,0.21468,0.214148
0.621606,0.407136,0.407473
0.214191,0.342988,0.34287
0.621283,0.514354,0.513855
0.385586,0.557092,0.55704
0.150399,0.471126,0.471763
0.428205,0.428285,0.428797
0.29959,0.193318,0.193204
0.493089,0.299903,0.300043
0.150468,0.342787,0.342571
0.0644636,0.621001,0.621479
0.278796,0.0215502,0.0211934
0.621366,0.578489,0.578201
0.578773,0.15024,0.150295
0.0637992,0.428485,0.429023
0.171502,0.32174,0.321372
0.0424332,0.55746,0.556617
0.042772,0.257433,0.257561
0.663962,0.12871,0.128538
0.642617,0.149852,0.149909
0.17187,0.30013,0.300476
0.300413,0.128873,0.12856
0.0212596,0.364613,0.364213
0.600284,0.600012,0.600033
0.514675,0.621647,0.621607
0.385391,0.0856122,0.085503
0.149914,0.300403,0.300149
0.685203,0.493013,0.492765
0.600154,0.642469,0.64287
0.107556,0.514374,0.514442
0.470993,0.17188,0.171124
0.257018,0.214715,0.21407
0.364651,0.150083,0.149871
0.085234,0.407134,0.407135
0.407376,0.256762,0.257375
0.128226,0.406632,0.40759
0.493142,0.599907,0.599564
0.0857593,0.685702,0.685846
0.600219,0.449641,0.450151
0.686087,0.40675,0.406868
0.68542,0.278516,0.278487
0.514584,0.642954,0.64312
0.150242,0.36382,0.36437
0.299882,0.2998,0.300111
0.428961,0.493184,0.493224
0.063919,0.150395,0.149528
0.278308,0.600186,0.599667
0.578183,0.450357,0.449774
0.149998,0.0645756,0.064551
0.556891,0.0424197,0.043156
0.128154,0.600082,0.599902
0.642434,0.492869,0.492884
0.0425923,0.428251,0.428526
0.578675,0.428109,0.428993
0.385388,0.364378,0.364424
0.514188,0.493054,0.492431
0.47131,0.214367,0.214529
0.493068,0.536008,0.536055
0.535254,0.0215545,0.0210265
0.128136,0.514691,0.514693
0.0856957,0.235381,0.23565
0.278484,0.664455,0.664162
0.643044,0.128849,0.128758
0.321753,0.385367,0.385919
0.17155,0.57865,0.578946
0.449515,0.492612,0.492862
0.320914,0.64246,0.64267
0.0211084,0.278905,0.278972
0.407282,0.42903,0.428264
0.599741,0.321382,0.321082
0.385787,0.621096,0.62093
0.300076,0.535858,0.536148
0.0646879,0.128103,0.12888
0.343011,0.171108,0.171728
0.36386,0.493176,0.492682
0.128754,0.428478,0.428467
0.535673,0.600148,0.599682
0.364608,0.236199,0.235751
0.0218819,0.192629,0.192746
0.53539,0.664432,0.664542
0.428933,0.021116,0.0217351
0.10748,0.364206,0.364569
0.663971,0.17111,0.171049
0.471332,0.0645162,0.0641569
0.471802,0.578863,0.578148
0.128476,0.149533,0.150368
0.235486,0.471139,0.471435
0.600399,0.557074,0.557113
0.256977,0.0644276,0.0645764
0.300396,0.278216,0.278106
0.192523,0.535702,0.535475
0.021472,0.664548,0.664623
0.0210176,0.578819,0.578489
0.19253,0.342497,0.34327
0.556658,0.193044,0.193139
0.171851,0.642342,0.643299
0.406859,0.171338,0.171789
0.535891,0.428648,0.428234
0.0432115,0.407475,0.407243
0.299731,0.342435,0.343038
0.235839,0.664071,0.664071
0.685893,0.428473,0.428979
0.214292,0.149775,0.150379
0.128764,0.578784,0.578688
0.214762,0.600053,0.599594
0.36398,0.449792,0.449855
0.557486,0.364597,0.363827
0.256667,0.386159,0.386011
0.621073,0.493275,0.492777
0.0423573,0.214486,0.214317
0.278395,0.0856805,0.0853743
0.621139,0.556819,0.557204
0.171602,0.0218349,0.0211073
0.556783,0.106802,0.106694
0.256745,0.149673,0.149957
0.107606,0.128481,0.128291
0.363926,0.321338,0.321188
0.321591,0.128082,0.128512
0.256843,0.4927,0.492357
0.535707,0.621533,0.621192
0.64285,0.0861711,0.086157
0.51475,0.557203,0.557026
0.53595,0.321288,0.321681
0.107025,0.536088,0.535941
0.62107,0.599589,0.600015
0.236043,0.23554,0.23612
0.428382,0.17175,0.171843
0.0858479,0.214361,0.214367
0.29962,0.578268,0.578149
0.492954,0.0644882,0.0639811
0.192572,0.386054,0.386162
0.343034,0.14998,0.149739
0.664071,0.235696,0.236004
0.149502,0.492929,0.493282
0.664727,0.492774,0.492804
0.685464,0.556866,0.556848
0.0853513,0.171605,0.171735
0.0859506,0.321614,0.321222
0.664279,0.364175,0.364222
0.300083,0.236167,0.235872
0.342508,0.192748,0.192752
0.278777,0.235328,0.235621
0.493134,0.214646,0.213912
0.38613,0.193334,0.192992
0.300096,0.471303,0.471031
0.021773,0.513781,0.514403
0.321555,0.471,0.471117
0.214157,0.107017,0.107263
0.300257,0.385782,0.385703
0.149725,0.106828,0.10741
0.0641286,0.256709,0.256666
0.664053,0.62138,0.621227
0.0217128,0.642903,0.642971
0.428778,0.450337,0.450226
0.53545,0.44985,0.449812
0.064449,0.385689,0.385971
0.214029,0.321866,0.321417
0.107524,0.685257,0.685944
0.556801,0.514653,0.514092
0.0857452,0.0639096,0.0642173
0.235835,0.364406,0.364668
0.171739,0.364226,0.364533
0.235704,0.0645474,0.0641998
0.27824,0.407291,0.407301
0.557065,0.535215,0.535631
0.342906,0.256846,0.257345
0.0855287,0.385642,0.385921
0.471599,0.663791,0.664729
0.08593,0.578786,0.578971
0.193262,0.364462,0.363908
0.299542,0.428725,0.42833
0.320957,0.235871,0.235727
0.599604,0.10684,0.107566
0.0645921,0.107504,0.107453
0.513979,0.0861904,0.0857553
0.514709,0.514039,0.513992
0.364666,0.406963,0.407227
0.428831,0.342821,0.342971
0.214076,0.128873,0.128612
0.170948,0.214682,0.214075
0.471197,0.556809,0.557593
0.106675,0.257482,0.257588
0.213867,0.47141,0.471833
0.556671,0.664488,0.664531
0.449786,0.299664,0.299657
0.406762,0.342797,0.342439
0.557426,0.150193,0.150056
0.364121,0.471502,0.471751
0.171897,0.428299,0.42842
0.492749,0.278896,0.278667
0.300302,0.664586,0.664368
0.0215032,0.685364,0.685887
0.471103,0.149812,0.150003
0.428579,0.385681,0.38578
0.150349,0.236075,0.235375
0.342808,0.0641305,0.0641197
0.0640015,0.407205,0.407571
0.686028,0.385869,0.385409
0.642407,0.621366,0.621722
0.642671,0.428077,0.428537
0.66381,0.150129,0.150108
0.0214779,0.257086,0.256796
0.0855167,0.599554,0.600301
0.0212708,0.493003,0.492993
0.235715,0.107193,0.107044
0.664343,0.278327,0.278693
0.363979,0.257487,0.257367
0.0859294,0.49254,0.493324
0.0215027,0.32121,0.321725
0.514741,0.407493,0.406727
0.685677,0.578255,0.578622
0.600228,0.386116,0.385412
0.535548,0.299584,0.299533
0.128066,0.128601,0.1282
0.642506,0.599982,0.599539
0.470941,0.621692,0.621087
0.321815,0.278801,0.278238
0.214059,0.55737,0.557391
0.107166,0.106873,0.106988
0.0424615,0.171082,0.171542
0.557007,0.386058,0.385205
0.171836,0.0646515,0.0641583
0.256961,0.171409,0.171173
0.214646,0.300238,0.300477
0.664495,0.192994,0.193056
0.0219044,0.106987,0.107525
0.192857,0.471738,0.471039
0.428242,0.578497,0.578864
0.300024,0.407239,0.407092
0.471062,0.128756,0.129039
0.535451,0.0430864,0.043063
0.55713,0.34272,0.343094
0.214526,0.642688,0.642996
0.642721,0.663865,0.664229
0.192587,0.171023,0.171406
0.578581,0.27813,0.278179
0.407409,0.556991,0.55693
0.235868,0.621431,0.620975
0.107074,0.171702,0.171628
0.214004,0.214699,0.214728
0.621648,0.29986,0.300212
0.192681,0.621419,0.621098
0.664587,0.0218107,0.0218137
0.493028,0.085357,0.0858255
0.23619,0.0859883,0.0860062
0.27882,0.556795,0.557101
0.32186,0.0855587,0.0855647
0.150227,0.0218029,0.0214369
0.685452,0.59968,0.599706
0.278103,0.535362,0.53559
0.471701,0.492529,0.492772
0.149545,0.428281,0.428588
0.385434,0.428236,0.428689
0.128112,0.535543,0.535984
0.449483,0.235445,0.235343
0.578515,0.299919,0.29976
0.364666,0.599837,0.599778
0.235358,0.535879,0.535659
0.513775,0.342643,0.342775
0.193004,0.642619,0.642343
0.578377,0.235245,0.235346
0.642736,0.407084,0.406715
0.407225,0.0853823,0.0858222
0.42816,0.514415,0.513947
0.57898,0.343053,0.342405
0.193267,0.321831,0.3219
0.449702,0.0860733,0.0854461
0.342875,0.2787,0.2788
0.278827,0.300432,0.300229
0.407319,0.236078,0.235871
0.257496,0.66466,0.664386
0.235995,0.0216959,0.0214995
0.643226,0.514636,0.514391
0.407007,0.643256,0.642462
0.407013,0.578764,0.578079
0.642342,0.578303,0.578078
0.386024,0.214765,0.214326
0.257098,0.106922,0.10692
0.25724,0.578346,0.578787
0.60014,0.235371,0.235316
0.385505,0.0639118,0.0641292
0.643242,0.064124,0.0647233
0.68572,0.643124,0.643279
0.450043,0.385282,0.386038
0.449702,0.0217329,0.021284
0.407045,0.30007,0.299934
0.278634,0.621581,0.621014
0.342497,0.321506,0.321899
0.578346,0.642581,0.643021
0.107249,0.407023,0.407357
0.257174,0.342938,0.343309
0.471513,0.364473,0.363897
0.664569,0.386071,0.385817
0.364697,0.214598,0.214046
0.557482,0.428146,0.428654
0.492789,0.236169,0.235844
0.514342,0.450388,0.449949
0.578123,0.535595,0.535652
0.685499,0.0646086,0.0640005
0.407497,0.664722,0.663941
0.107521,0.0857825,0.0861416
0.192542,0.557302,0.556908
0.0424211,0.514683,0.514163
0.0646229,0.514181,0.514516
0.471051,0.0218868,0.0215755
0.106763,0.450392,0.449724
0.364765,0.0215498,0.021061
0.685916,0.170973,0.171271
0.257101,0.599898,0.599889
0.600022,0.0638398,0.0646911
0.62145,0.235565,0.235999
0.128238,0.107634,0.107481
0.257,0.321229,0.321399
0.385971,0.57828,0.578766
0.471422,0.0432651,0.0432821
0.663806,0.214192,0.214397
0.0212337,0.171076,0.171592
0.171312,0.106734,0.107423
0.428563,0.299747,0.299985
0.342538,0.642841,0.642348
0.51464,0.0645514,0.0641439
0.214,0.450239,0.450176
0.235364,0.192701,0.193272
0.406644,0.363985,0.364477
0.685948,0.128967,0.128667
0.428261,0.557015,0.557453
0.213905,0.578874,0.578153
0.171001,0.0853435,0.0856591
0.27881,0.1712,0.171721
0.556737,0.257182,0.257194
0.0428993,0.0427869,0.0426002
0.150014,0.407248,0.407601
0.214215,0.0425893,0.0431483
