x coord, y coord, z coord
0.621108,0.471492,0.471382
0.213966,0.0639493,0.064051
0.321729,0.299607,0.299664
0.342768,0.406641,0.407253
0.300231,0.600337,0.600405
0.407012,0.471701,0.47145
0.0216745,0.578831,0.578119
0.236081,0.19301,0.193307
0.214697,0.385201,0.385949
0.664476,0.663772,0.664717
0.686047,0.214463,0.213821
0.29988,0.642825,0.642432
0.471331,0.235354,0.235931
0.493236,0.40718,0.407548
0.535189,0.471864,0.471566
0.0216571,0.192487,0.19312
0.535344,0.514195,0.514198
0.664514,0.600226,0.600279
0.149697,0.514103,0.513962
0.235473,0.364038,0.364735
0.171725,0.599911,0.599781
0.214521,0.278965,0.278617
0.12824,0.0425921,0.0431704
0.363802,0.406941,0.406818
0.599817,0.171473,0.171493
0.407192,0.171919,0.171548
0.299589,0.0213818,0.0211239
0.642986,0.106643,0.10678
0.385771,0.0215796,0.0218174
0.107386,0.02163,0.0211087
0.385449,0.0859994,0.0859311
0.428278,0.514008,0.514684
0.0210333,0.36464,0.364549
0.12905,0.321501,0.321602
0.193139,0.0859142,0.0854289
0.299502,0.042383,0.0424724
0.40711,0.514131,0.513882
0.257268,0.664614,0.664034
0.300163,0.621623,0.621728
0.407172,0.556722,0.556702
0.406998,0.0640953,0.0640603
0.321649,0.363888,0.364254
0.321545,0.192737,0.192992
0.557128,0.514534,0.514133
0.664617,0.171452,0.17164
0.42832,0.364678,0.364017
0.471375,0.0860058,0.0852578
0.257036,0.36474,0.363881
0.0856673,0.685761,0.685348
0.364485,0.47101,0.471254
0.471239,0.621034,0.621882
0.085221,0.235691,0.236
0.471171,0.578164,0.578619
0.642378,0.064153,0.0643775
0.0858371,0.0645351,0.0643541
0.513804,0.406696,0.407437
0.0427714,0.664606,0.664294
0.493018,0.10687,0.107061
0.471555,0.535741,0.535932
0.621469,0.621556,0.62147
0.193111,0.171379,0.171856
0.578107,0.321442,0.321703
0.171184,0.536093,0.536088
0.192393,0.128105,0.128261
0.685545,0.428303,0.428891
0.278977,0.321167,0.321393
0.0852961,0.321204,0.321613
0.0424069,0.535884,0.535217
0.042712,0.514265,0.513854
0.299843,0.492398,0.49253
0.342352,0.0855497,0.0857096
0.449608,0.06441,0.0642727
0.299617,0.0644153,0.0637998
0.299785,0.579023,0.578136
0.0853236,0.149544,0.149569
0.278305,0.278404,0.279039
0.235217,0.278792,0.278195
0.0647409,0.642356,0.642915
0.0639503,0.342652,0.342958
0.364552,0.364212,0.364676
0.643122,0.192504,0.193323
0.214125,0.193233,0.192987
0.47129,0.149496,0.14963
0.685304,0.62124,0.620922
0.407463,0.363826,0.363981
0.192403,0.257343,0.257415
0.385292,0.342666,0.343119
0.406823,0.106795,0.107259
0.407241,0.256814,0.257432
0.235904,0.407449,0.407291
0.599922,0.106772,0.107331
0.107232,0.643119,0.642642
0.214653,0.299777,0.300325
0.686064,0.236043,0.236059
0.192747,0.342723,0.342765
0.642356,0.128753,0.128517
0.536019,0.300438,0.29976
0.150006,0.171308,0.171026
0.44997,0.556638,0.556624
0.406999,0.664569,0.664079
0.685211,0.535864,0.535936
0.535982,0.428717,0.428513
0.642638,0.536091,0.535404
0.149962,0.450375,0.450285
0.600301,0.0643473,0.0639453
0.385521,0.535505,0.536001
0.0428866,0.257173,0.257259
0.0213378,0.0432535,0.0424034
0.0215527,0.64328,0.643084
0.428071,0.171336,0.171684
0.10753,0.214603,0.214279
0.149622,0.342604,0.342657
0.0211531,0.471672,0.471714
0.578899,0.407219,0.407614
0.300164,0.107622,0.107243
0.0855554,0.64283,0.642528
0.470995,0.171411,0.171118
0.0858415,0.278637,0.278488
0.514175,0.214172,0.214223
0.364028,0.642364,0.643025
0.214049,0.256675,0.25713
0.663994,0.214384,0.214704
0.407483,0.321024,0.321557
0.428641,0.0642092,0.064687
0.364045,0.664696,0.664092
0.299662,0.342931,0.3426
0.385765,0.128166,0.12837
0.450247,0.578445,0.578404
0.106846,0.535688,0.535302
0.685394,0.321844,0.321517
0.642885,0.557248,0.557274
0.0427918,0.278408,0.278349
0.257531,0.15049,0.14989
0.257162,0.0212853,0.0218196
0.557489,0.406931,0.406998
0.62145,0.599567,0.59967
0.621819,0.363818,0.364338
0.300209,0.428284,0.428682
0.59953,0.535801,0.535418
0.600204,0.44967,0.450125
0.042962,0.0429826,0.0428926
0.34276,0.278209,0.278164
0.364634,0.256699,0.256737
0.450137,0.256687,0.256777
0.407169,0.642728,0.642865
